source,target,weight
"Mendes, Kaitlynn","Mendes, Kaitlynn",1
"Zhang, Wenshuo","Zhang, Wenshuo",1
"Zhang, Wenshuo","Althaus, Scott",1
"Williams, Melvin","Lewis, Markeil",1
"Williams, Melvin","Tyree, Tia",1
"Williams, Melvin","Williams, Melvin",1
"Rall, Hans-Martin","Weber, Wibke",1
"Rall, Hans-Martin","Rall, Hans-Martin",1
"Soto-Velez, Ivette","Soto-Velez, Ivette",1
"Hall, Marissa","Ribisl, Kurt",1
"Hall, Marissa","Brewer, Noel",1
"Hall, Marissa","Noar, Seth",1
"Hall, Marissa","Hall, Marissa",1
"Hall, Marissa","Francis, Diane",1
"Alper, Meryl","Alper, Meryl",1
"Scolari, Carlos","Scolari, Carlos",1
"Joa, Claire","Lim, Jongsoo",1
"Joa, Claire","Ha, Louisa",1
"Joa, Claire","Park, Sanghee",1
"Joa, Claire","Rosati, Clayton",1
"Joa, Claire","Yun, Gi Woong",1
"Joa, Claire","Joa, Claire",1
"Joa, Claire","Park, Sung-Yeon",1
"Davidson, Austin","Keene, Justin",1
"Davidson, Austin","Greenlee, Brennan",1
"Davidson, Austin","Adams, Robyn",1
"Davidson, Austin","Berke, Collin",1
"Davidson, Austin","Loof, Travis",1
"Davidson, Austin","Davidson, Austin",1
"Davidson, Austin","Nguyen, Linh",1
"Zhao, Xinyan","Zhao, Xinyan",1
"Zhao, Xinyan","Yang, Bo",1
"Lewis, Nicky","Lewis, Nicky",1
"Lewis, Nicky","Gantz, Walter",1
"Mukherjee, Rahul","Mukherjee, Rahul",1
"McEwen, Rhonda","Dub, Adam",1
"McEwen, Rhonda","McEwen, Rhonda",1
"Olzman, Miranda","Olzman, Miranda",1
"Lee, Eun Jeong","Lee, Eun Jeong",1
"Kenski, Kate","Pitts, Margaret",1
"Kenski, Kate","Pavlich, Corey",1
"Kenski, Kate","Kenski, Kate",1
"Kenski, Kate","Smith, Stephanie",1
"Chu, Yajie","Xu, Yu",1
"Chu, Yajie","Chu, Yajie",1
"Das, Ranjana","Das, Ranjana",1
"Peters, John","Peters, John",1
"Garcia Santamaria, Sara","Garcia Santamaria, Sara",1
"Beaufort, Maren","Beaufort, Maren",1
"Beaufort, Maren","Schmuck, Desiree",1
"Beaufort, Maren","Naderer, Brigitte",1
"Beaufort, Maren","Matthes, Jorg",1
"Ibrahim, Ahmed","Ibrahim, Ahmed",1
"Ibrahim, Ahmed","Richert, Rebekah",1
"Yoon, Hongseok","Jaeyeol, Jung",1
"Yoon, Hongseok","Park, Seyoung",1
"Yoon, Hongseok","Shin, Dong-Hee",1
"Yoon, Hongseok","Yoon, Hongseok",1
"Johnson, Amy","Johnson, Amy",1
"Johnson, Amy","Anderson, Chris",1
"Johnson, Amy","Bostwick, Eryn",1
"Meier, Stefan","Fraas, Claudia",1
"Meier, Stefan","Pentzold, Christian",1
"Meier, Stefan","Meier, Stefan",1
"Meier, Stefan","Sommer, Vivien",1
"Wu, Mei","Hua, Yang",1
"Wu, Mei","Wu, Mei",1
"Li, Li","Qian, Yuxia",1
"Li, Li","Li, Li",1
"Tao, Chen-Chao","Lai, Chih-Hui",1
"Tao, Chen-Chao","Ye, Xinyue",1
"Tao, Chen-Chao","She, Bing",1
"Tao, Chen-Chao","Tao, Chen-Chao",1
"Simon Salazar, Harry","Simon Salazar, Harry",1
"Frisby, Cynthia","Frisby, Cynthia",1
"Tan, Kay Su Yi","Ho, Shirley",1
"Tan, Kay Su Yi","Ko, Jeremy Sheng Wei",1
"Tan, Kay Su Yi","Low, Wei Xiang",1
"Tan, Kay Su Yi","Tan, Kay Su Yi",1
"Tan, Kay Su Yi","Pang, Natalie",1
"Tan, Kay Su Yi","Zhang, Alex Meng Ren",1
"Van De Wiele, Chad","Tong, Stephanie",1
"Van De Wiele, Chad","Van De Wiele, Chad",1
"Van De Wiele, Chad","Corriero, Elena",1
"Van De Wiele, Chad","Rochadiat, Annisa",1
"Van De Wiele, Chad","Lennemann, Benjamin",1
"Devlin, Michael","Devlin, Michael",1
"Devlin, Michael","Billings, Andrew",1
"Cai, Deborah","Fink, Edward",1
"Cai, Deborah","Sipek, Sanja",1
"Cai, Deborah","Cai, Deborah",1
"Bayer, Joseph","Konrath, Sara",1
"Bayer, Joseph","Falk, Emily",1
"Bayer, Joseph","Cascio, Christopher",1
"Bayer, Joseph","Beard, Elizabeth",1
"Bayer, Joseph","Bayer, Joseph",1
"Youngvorst, Lucas","Youngvorst, Lucas",1
"LeFebvre, Luke","LeFebvre, Leah",1
"LeFebvre, Luke","Yilmaz, Gamze",1
"LeFebvre, Luke","LeFebvre, Luke",1
"Harper, James","Densley, Rebecca",1
"Harper, James","Money, Nathan",1
"Harper, James","Coyne, Sarah",1
"Harper, James","Harper, James",1
