name	freq	Change
U of Osnabrueck	1	
U of Otago	1	
U of Oxford	3	
U of Passau	2	
U of Pennsylvania	97	
U of Perugia	1	
U of Pittsburgh	7	
U of Puerto Rico	3	U of Puerto Rico
U of Puerto Rico at Arecibo	3	U of Puerto Rico
U of Puerto Rico Río Piedras Campus	3	U of Puerto Rico
U of Putra Malaysia	1	
U of Quebec in Montreal (UQAM)	2	
U of Queensland	9	U of Queensland
U of Queensland/U of Western Sydney	2	U of Queensland
U of Rhode Island	5	
U of Rochester	1	
U of Rotterdam	1	
U of Salamanca	1	
U of Salford	1	
U of Salzburg	2	
U of San Diego	4	
U of San Francisco	5	
U of San Paulo	1	
U of Santiago	2	
U of Santo Tomas	1	
U of Scranton	1	
U of Sheffield	2	
U of South Carolina	10	U of South Carolina
U of South Carolina Upstate	2	U of South Carolina
U of South Dakota	4	
U of South Florida	9	
U of Southampton	1	
U of Southern California	35	U of Southern California
U of Southern California - Annenberg School for Communication	64	U of Southern California
U of Southern Denmark	9	
U of Southern Denmark Centre for Journalism	5	
U of Southern Mississippi	1	
U of St Gallen	1	
U of St. Gallen	11	
U of St.Gallen	1	
U of Sussex	2	
U of Sydney	1	
U of Tampa	1	
U of Tampere	12	
U of Technology Dresden	1	
U of Technology Sydney	2	
U of Tennessee	24	
U of Texas	11	U of Texas
U of Texas - Arlington	1	U of Texas
U of Texas - Austin	79	U of Texas
U of Texas - Brownsville	1	U of Texas
U of Texas - Dallas	5	U of Texas
U of Texas - El Paso	2	U of Texas
U of Texas - San Antonio	2	U of Texas
U of Texas at Austin	24	U of Texas
U of Texas at San Antonio	1	U of Texas
U of Texas Austin	1	U of Texas
U of Texas-Pan American	2	U of Texas
U of the Federal German Army	1	
U of the Philippines	3	
U of the West Indies	1	
U of the Witwatersrand Johannesburg	2	
